Año,SalarioMinimoMensual,AuxilioTransporte,NormatividadDecreto
2025,1423500,200000,1572 de dic 24 de 2024
2024,1300000,162000,2292 de dic 29 2023
2023,1160000,140606,2623 de dic 28 2022
2022,1000000,117172,1724 de dic 15 de 2021
2021,908526,106454,1786 de dic 29 de 2020
2020,877803,102854,2360 de dic 26 de 2019
2019,828116,97032,2451 de dic 27 de 2018
2018,781242,88211,2269 de dic 30 de 2017
2017,737717,83140,2209 de dic 30 de 2016
2016,689455,77700,2552 de dic 30 de 2015
2015,644350,74000,2731 de dic 30 de 2014
2014,616000,72000,3068 de dic 30 de 2013
2013,589500,70500,2738 de dic 28 de 2012
2012,566700,67800,4919 de dic 26 de 2011
2011,535600,63600,033 de enero 11 de 2011
2010,515000,61500,5053 de dic 30 de 2009
2009,496900,59300,4868 de dic 30 de 2008
2008,461500,55000,4965 de dic 27 de 2007
2007,433700,50800,4580 de dic 27 de 2006
2006,408000,47700,4686 de dic 21 de 2005
2005,381500,44500,4360 de dic 22 de 2004
2004,358000,41600,3770 de dic 26 de 2003
2003,332000,37500,3232 de dic 27 de 2002
2002,309000,34000,2910 de dic 31 de 2001
2001,286000,30000,2579 de dic 13 de 2000
2000,260100,26413,2647 de dic 23 de 1999
1999,236460,24012,2560 de diciembre de 1998
1998,203826,20700,3106 de diciembre de 1997
1997,172005,17250,2334 de diciembre de 1996
1996,142125,13567,2310 de diciembre de 1995
1995,118934,10815,2872 de diciembre de 1994
1994,98700,8705,2548 de diciembre de 1993
1993,81510,7542,2061 de diciembre de 1992
1992,65190,6033,2867 de diciembre de 1991
1991,51716,4787,3074 de diciembre de 1990
1990,41025,3798,3000 de diciembre de 1989
1989,32560, -   ,2662 de diciembre de 1988
1988,25637, -   ,2545 de diciembre de 1987
1987,20510, -   ,3732 de diciembre de 1986
1986,16811, -   ,3754 de diciembre de 1985
1985,13588, -   ,1 de enero de 1985
1984,11298, -   ,3506 de diciembre de 1983
https://www.consultorcontable.com/datos-hist%C3%B3ricos/salario-m%C3%ADnimo-historico/,,,
